Original_Entry_ID,pXC50,SMILES
45278965,7.84466,O=C(NCCCN1CCN(CC1)C=2C(=C(C=CC2)C)C)C3=C(N(C(=C3)C4=CC=CC=C4)CC5=CC=CC=C5)C
44449236,8.22185,ClC1=CC(=C(OC=2C(CN(C)C)=CN=C(C2)C)C=C1)C
90665197,7.72125,ClC=1C(=C(N2CCN(CC2)CC(O)CNC(=O)C=3N=C(N(C3C)C=4C(OC)=CC=CC4)C)C=CC1)C
CHEMBL462410,9.59,C12NC(CC1)CC(C2C(OCCCF)=O)C3=CC(=CC=C3)/C=C\I
44323130,9.52288,S1C2=C(C=C([C@H]3C[C@@H](N(CC3)C[C@@H](O)COC=4C5=C(NC(=C5)C)C=CC4)C)C=C2)C=C1
CHEMBL299890,5.97,N1(C2C(C(=O)OC)C(CC1CC2)C=3C=CC(=CC3)F)CC4=CC=CC=C4
CHEMBL1173087,9.9,C1CNC[C@@]2(C[C@@]12C=3C=CC(=C(Cl)C3)Cl)C(OC)CC=C
CHEMBL1200623,7.37,[C@]12([C@H]([C@H]3[C@@H]([C@@H]4C(=CCCC4)CC3)CC1)CC[C@@]2(O)CC)C
73347524,6.16115,ClC=1C=C(C(C2CCNCC2)C(ON(C)C)=O)C=CC1Cl
CHEMBL253182,8.9,C1=C(C(SC=2C(=CC(=CC2)F)CN(C)C)=CC=C1CO)N
45270563,8.1549,O(C(C1CCNCC1)C2=CC=CN=C2)C=3C=C(C=CC3)CC
CHEMBL543925,8.92,[C@H](C=1C=C2C(=CC1)C=CC=C2)([C@H](C(C)(C)C)O)CN(C)C
CHEMBL2113005,7.74,C1=2C(=CNC1=CC=C(C2)F)CC3CN4CCC3CC4
44429185,6.663539999999999,ClC=1C=C(C2=CCNCC2C(OCC)=O)C=CC1Cl
56669493,9.40012,ClC=1C=C([C@]23[C@](C2)(CNCC3)CN4C=CC=C4)C=CC1Cl
CHEMBL1818546,8.9,N1(CC23CNCC[C@@]2(C3)C4=CC(=C(C=C4)Cl)Cl)C5=C(C=C1)C=CC=C5
CHEMBL397299,8.37,C1=C(OCCCN2CCC(CC2)F)C=C3CN(C)CC(C3=C1)C=4C=CC=C(C4)OC
CHEMBL455511,8.63,C=1(C=C(CN(C)C)C(OC=2C=C(C(=CC2)Cl)Cl)=CC1)C
CHEMBL471211,7.89,[C@]1([C@H](CN)C1)(C2=CC=CS2)C(N3CC4=C(C3)C=CC=C4)=O
46200977,7.92082,FCCCCOC1=CC(CN(C)C)=C(OC=2C(N)=CC(=CC2)C)C=C1
CHEMBL1214045,6.55,C1(=C(N(CCC)C(=C1)C=2C=CC=CC2)C)C(=O)NCCCN3CCN(CC3)C=4C=C(C(Cl)=CC4)Cl
CHEMBL1813311,7.46,C1CC[C@@H]2[C@@](C3=CC(=C(C=C3)OC)OC)(CN(C)C2)C1
CHEMBL562476,6.9,N1(C2=C(C=C1)C=CC=C2)[C@@H](C=3C=CC=CC3)[C@H](O)CNC
45486603,6.79317,O[C@@H]([C@H](N1C=2C(C=C1)=CC=CC2)C3=CC=CC=C3)CNC
CHEMBL570856,6.04,N1(C2=C(C=C1)C=CC=C2)[C@@H](C=3C=CC=CC3)[C@@H](O)CNC
45486517,7.13077,O[C@H]([C@H](N1C=2C(C=C1)=CC=CC2)C3=CC=CC=C3)CNC
CHEMBL1242950,6.0,C1(CCCC)CCN(CCCC(C=2C(=CC=CC2)C)=O)CC1
11529992,7.0315199999999995,ClC1=C(CN([C@H]2CCNC2)C(=O)CC(C)C)C=CC(Cl)=C1
CHEMBL517424,5.59,C1=CC2=C(N([C@H](CCNC)C=3C=CC=C(C3)F)C(N2CC)=O)C(=C1)F
CHEMBL573361,8.24,C12N(C(CC1)C[C@@H]([C@@H]2C(OC)=O)C=3C=CC(=CC3)SC)CCC
44587389,6.19382,S(C=1C(O[C@@H]2[C@H](OCC=3C2=CC=CC3)CNC)=CC=CC1)C
44587390,5.22185,S(C=1C(O[C@@H]2[C@@H](OCC=3C2=CC=CC3)CNC)=CC=CC1)C
CHEMBL300183,7.71,C12[C@H]([C@@H](OC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(N1CCCC5=CC=CC=C5)CC2)C(=O)OC
CHEMBL125954,7.71,C12C([C@@H](OC(C=3C=CC(=CC3)F)C=4C=CC(=CC4)F)CC(N1CCCC=5C=CC=CC5)CC2)C(=O)OC
45483096,5.86455,FC1=CC=C([C@H](N2C=3C(C=C2)=CC=CC3)[C@H](O)CNC)C=C1
45269317,7.42022,O=C(N1CCC(CC1)(C2=CC=CC=C2)C(=O)N(C)C)[C@H]3C(C[C@H](N[C@H](C)C4=CC=C(OC)C=C4)CC3)(C)C
CHEMBL453631,7.4,C=1(C=C(C(NC)C)C(OC=2C=C(C(=CC2)Cl)Cl)=CC1)C
CHEMBL339490,7.61,C=12C(=CC(=CC1OCCNCCCC=3C=4C(=CC=C(C4)F)NC3)F)OCCO2
CHEMBL567945,7.24,C=1(C(=C(C=CC1Cl)C(=O)N([C@@H]2CCNC2)C)C)Cl
15983840,7.180460000000001,O(C1=NC=C2C(CN(CC2=C1)C)C3=CC=C(OC)C=C3)CCCN(CC)CC
11712756,7.500039999999999,O1C2=C(CCN3CCN(CC3)C4=C5C(N=C(C=C5)C)=CC=C4)C=CC=C2N6C(C1)=C(N=C6)C(=O)NC
71541192,7.200660000000001,N1CC(CC=CC1)C2=CC=3C(C=C2)=CC=CC3
CHEMBL2206509,6.64,C1=CC(=CC=C1F)[C@H]2C3=C(CN(C2)C)C=C(C=C3)C
CHEMBL404754,7.89,C1(=CC(CNC)=C(OC=2C(=CC(=CC2)Cl)Cl)C=C1)C(=O)NC
CHEMBL249161,7.6,C=1C=C2C(=CSC2=CC1)C3C(C3)CN(C)C
CHEMBL489582,6.64,C=1C(N(CCCCN2CCN(CC2)C3=CC(=CC=C3)C(F)(F)F)N=C(C1)N4C=CN=C4)=O
CHEMBL1170585,7.1,N1CCN(C(C1)CC=2C=CC=CC2)C=3C=CC(=CC3)NC
CHEMBL541226,8.1,C=1C=CC(C(OC2=C(C(=CC=C2)Cl)Cl)C3CCNCC3)=CC1
CHEMBL598562,8.57,C1=C(C2CCNCC2)C(OC3=CC=C(C=C3Cl)Cl)=NC=C1
CHEMBL1085233,5.45,C1=CC=C2N(C=3C(=CC=CC3)F)S(=O)(=O)N(C[C@@H](CNC)C)C2=C1
CHEMBL1083741,5.53,C1=CC=C2N(C=3C(=CC=CC3)F)S(=O)(=O)N(C[C@H](CNC)C)C2=C1
CHEMBL257738,8.05,C1=CC(=C(C=C1C(N2CCCN(CC2)C3CC3)=O)CNC)OC=4C=CC(=C(C4)Cl)Cl
